Risk Factor,Age,Coefficient,CI_Lower,CI_Upper,P_value,Significance,R2,N
Body Mass Index,9.0,-0.0349,-0.0613,-0.0086,0.009,**,0.0153,5802.0
Body Mass Index,10.0,-0.0394,-0.0661,-0.0127,0.004,**,0.0094,5672.0
Body Mass Index,11.0,-0.0568,-0.0843,-0.0293,0.0,***,0.0154,5374.0
Body Mass Index,12.0,-0.0481,-0.0766,-0.0197,0.001,**,0.0146,5109.0
Body Mass Index,13.0,-0.049,-0.0781,-0.0198,0.001,**,0.0207,4750.0
Body Mass Index,15.0,-0.0485,-0.0793,-0.0178,0.002,**,0.0236,4197.0
Body Mass Index,17.0,-0.0591,-0.0918,-0.0263,0.0,***,0.0126,3755.0
Body Mass Index,24.0,-0.0852,-0.1233,-0.0472,0.0,***,0.0195,2893.0
Waist Circumference,9.0,-0.0181,-0.0443,0.0081,0.175,,0.0172,5854.0
Waist Circumference,10.0,-0.0262,-0.0529,0.0005,0.055,,0.0098,5698.0
Waist Circumference,11.0,-0.0498,-0.0774,-0.0223,0.0,***,0.0106,5378.0
Waist Circumference,12.0,-0.0478,-0.0762,-0.0194,0.001,**,0.0093,5119.0
Waist Circumference,13.0,-0.0447,-0.0739,-0.0154,0.003,**,0.0116,4746.0
Waist Circumference,15.0,-0.0412,-0.0759,-0.0066,0.02,*,0.0069,3467.0
Waist Circumference,17.0,,,,,,,
Waist Circumference,24.0,-0.0887,-0.1256,-0.0519,0.0,***,0.114,2888.0
Systolic Blood Pressure,9.0,-0.024,-0.0511,0.0032,0.083,,0.0049,5784.0
Systolic Blood Pressure,10.0,-0.0659,-0.0939,-0.0378,0.0,***,0.0098,5466.0
Systolic Blood Pressure,11.0,-0.0311,-0.0595,-0.0027,0.032,*,0.0039,5315.0
Systolic Blood Pressure,12.0,-0.0188,-0.0475,0.0099,0.199,,0.002,5143.0
Systolic Blood Pressure,13.0,-0.0297,-0.0616,0.0021,0.067,,0.0125,4157.0
Systolic Blood Pressure,15.0,0.0298,-0.0018,0.0613,0.065,,0.0598,4121.0
Systolic Blood Pressure,17.0,-0.0241,-0.0547,0.0064,0.121,,0.2304,3522.0
Systolic Blood Pressure,24.0,-0.0385,-0.0733,-0.0037,0.03,*,0.2406,2906.0
bp_di,9.0,-0.0304,-0.0578,-0.003,0.03,*,0.0024,5786.0
bp_di,10.0,-0.0669,-0.0947,-0.0391,0.0,***,0.0127,5466.0
bp_di,11.0,-0.0387,-0.0671,-0.0103,0.008,**,0.0037,5315.0
bp_di,12.0,-0.0013,-0.0301,0.0276,0.93,,-0.0006,5143.0
bp_di,13.0,-0.033,-0.0649,-0.0012,0.042,*,0.013,4157.0
bp_di,15.0,-0.0364,-0.069,-0.0039,0.028,*,0.005,4121.0
bp_di,17.0,-0.0723,-0.1067,-0.0379,0.0,***,0.027,3522.0
bp_di,24.0,-0.0454,-0.0846,-0.0061,0.024,*,0.0186,2906.0
Total Cholesterol,9.0,-0.0295,-0.0625,0.0035,0.08,,0.0127,3924.0
Total Cholesterol,10.0,,,,,,,
Total Cholesterol,11.0,,,,,,,
Total Cholesterol,12.0,,,,,,,
Total Cholesterol,13.0,,,,,,,
Total Cholesterol,15.0,-0.0278,-0.066,0.0103,0.152,,0.0756,2692.0
Total Cholesterol,17.0,0.0205,-0.0198,0.0609,0.318,,0.0845,2473.0
Total Cholesterol,24.0,0.0054,-0.0371,0.0479,0.803,,0.0604,2366.0
High-Density Lipoprotein,9.0,-0.0145,-0.0479,0.0189,0.395,,0.0145,3924.0
High-Density Lipoprotein,10.0,,,,,,,
High-Density Lipoprotein,11.0,,,,,,,
High-Density Lipoprotein,12.0,,,,,,,
High-Density Lipoprotein,13.0,,,,,,,
High-Density Lipoprotein,15.0,-0.0198,-0.0596,0.02,0.329,,0.065,2692.0
High-Density Lipoprotein,17.0,0.0176,-0.0232,0.0583,0.398,,0.0872,2473.0
High-Density Lipoprotein,24.0,0.0548,0.013,0.0966,0.01,*,0.1406,2366.0
Low-Density Lipoprotein,9.0,-0.0247,-0.0575,0.0081,0.14,,0.0282,3923.0
Low-Density Lipoprotein,10.0,,,,,,,
Low-Density Lipoprotein,11.0,,,,,,,
