Risk Factor,Age,Coefficient (95% CI),P-value,R²,Sample Size
Body Mass Index,9.0,-0.0349 (-0.0613 to -0.0086)**,0.0090,0.0153,5802.0
Body Mass Index,10.0,-0.0394 (-0.0661 to -0.0127)**,0.0040,0.0094,5672.0
Body Mass Index,11.0,-0.0568 (-0.0843 to -0.0293)***,0.0000,0.0154,5374.0
Body Mass Index,12.0,-0.0481 (-0.0766 to -0.0197)**,0.0010,0.0146,5109.0
Body Mass Index,13.0,-0.0490 (-0.0781 to -0.0198)**,0.0010,0.0207,4750.0
Body Mass Index,15.0,-0.0485 (-0.0793 to -0.0178)**,0.0020,0.0236,4197.0
Body Mass Index,17.0,-0.0591 (-0.0918 to -0.0263)***,0.0000,0.0126,3755.0
Body Mass Index,24.0,-0.0852 (-0.1233 to -0.0472)***,0.0000,0.0195,2893.0
High-Density Lipoprotein,9.0,-0.0145 (-0.0479 to 0.0189),0.3950,0.0145,3924.0
High-Density Lipoprotein,10.0,nan (nan to nan),nan,nan,
High-Density Lipoprotein,11.0,nan (nan to nan),nan,nan,
High-Density Lipoprotein,12.0,nan (nan to nan),nan,nan,
High-Density Lipoprotein,13.0,nan (nan to nan),nan,nan,
High-Density Lipoprotein,15.0,-0.0198 (-0.0596 to 0.0200),0.3290,0.0650,2692.0
High-Density Lipoprotein,17.0,0.0176 (-0.0232 to 0.0583),0.3980,0.0872,2473.0
High-Density Lipoprotein,24.0,0.0548 (0.0130 to 0.0966)*,0.0100,0.1406,2366.0
Insulin,9.0,0.0124 (-0.0192 to 0.0439),0.4420,-0.0010,3905.0
Insulin,10.0,nan (nan to nan),nan,nan,
Insulin,11.0,nan (nan to nan),nan,nan,
Insulin,12.0,nan (nan to nan),nan,nan,
Insulin,13.0,nan (nan to nan),nan,nan,
Insulin,15.0,-0.0410 (-0.0693 to -0.0127)**,0.0050,0.0269,2688.0
Insulin,17.0,-0.0358 (-0.0791 to 0.0076),0.1060,0.0074,2434.0
Insulin,24.0,-0.0707 (-0.1148 to -0.0267)**,0.0020,0.0149,2366.0
Low-Density Lipoprotein,9.0,-0.0247 (-0.0575 to 0.0081),0.1400,0.0282,3923.0
Low-Density Lipoprotein,10.0,nan (nan to nan),nan,nan,
Low-Density Lipoprotein,11.0,nan (nan to nan),nan,nan,
Low-Density Lipoprotein,12.0,nan (nan to nan),nan,nan,
Low-Density Lipoprotein,13.0,nan (nan to nan),nan,nan,
Low-Density Lipoprotein,15.0,-0.0336 (-0.0722 to 0.0051),0.0890,0.0330,2692.0
Low-Density Lipoprotein,17.0,0.0116 (-0.0301 to 0.0533),0.5850,0.0309,2473.0
Low-Density Lipoprotein,24.0,-0.0204 (-0.0637 to 0.0229),0.3550,0.0285,2364.0
Systolic Blood Pressure,9.0,-0.0240 (-0.0511 to 0.0032),0.0830,0.0049,5784.0
Systolic Blood Pressure,10.0,-0.0659 (-0.0939 to -0.0378)***,0.0000,0.0098,5466.0
