Unnamed: 0,Risk_Category,Developmental_Period,Mean_Coefficient,SD_Coefficient,Number_of_Measurements,Mean_P_value,Proportion_Significant,Mean_Sample_Size,Mean_R_Squared
0,Anthropometric,Childhood (9-12),-0.002425,0.0007814821083775,8,0.030625,75.0,5500.75,0.0127
1,Anthropometric,Adolescence (13-16),-0.002775,0.0002217355782608,4,0.0065,100.0,4290.0,0.0157
2,Anthropometric,Early Adulthood (17-24),-0.0047333333333333,0.0009865765724632,3,0.0,75.0,3178.6666666666665,0.0487
3,Blood Pressure,Childhood (9-12),-0.002075,0.0013562026818605,8,0.16025,62.5,5427.25,0.00485
4,Blood Pressure,Adolescence (13-16),-0.00105,0.0019070046320517,4,0.0505,50.0,4139.0,0.0225749999999999
5,Blood Pressure,Early Adulthood (17-24),-0.002725,0.0012230426539304,4,0.04375,75.0,3214.0,0.12915
6,Glucose Metabolism,Childhood (9-12),-0.00035,0.0014849242404917,2,0.321,0.0,3842.0,0.00325
7,Glucose Metabolism,Adolescence (13-16),-0.0025,0.0,2,0.0165,50.0,2640.5,0.0361999999999999
8,Glucose Metabolism,Early Adulthood (17-24),-0.00105,0.0028687976575562,4,0.2865,25.0,2388.5,0.031325
9,Lipid Profile,Childhood (9-12),-0.001075,0.0007499999999999,4,0.384,0.0,3923.75,0.0146
10,Lipid Profile,Adolescence (13-16),-0.0006749999999999,0.0019448650338776,4,0.1585,0.0,2692.0,0.044075
11,Lipid Profile,Early Adulthood (17-24),0.0007875,0.0012766445975961,8,0.491625,12.5,2419.125,0.05815
