,Risk_Factor,Developmental_Period,Mean_Coefficient,SD_Coefficient,Number_of_Measurements,Mean_P_value,Proportion_Significant,Mean_Sample_Size,Mean_R_Squared
0,Body Mass Index,Childhood (9-12),-0.0026999999999999997,0.0005715476066494083,4,0.0034999999999999996,100.0,5489.25,0.013675
1,Body Mass Index,Adolescence (13-16),-0.00295,7.071067811865494e-05,2,0.0015,100.0,4473.5,0.02215
2,Body Mass Index,Early Adulthood (17-24),-0.004399999999999999,0.0011313708498984763,2,0.0,100.0,3324.0,0.016050000000000002
3,Diastolic Blood Pressure,Childhood (9-12),-0.0020499999999999997,0.0016051998837112674,4,0.24200000000000002,75.0,5427.5,0.004549999999999999
4,Diastolic Blood Pressure,Adolescence (13-16),-0.0021000000000000003,0.0001414213562373094,2,0.035,100.0,4139.0,0.009
5,Diastolic Blood Pressure,Early Adulthood (17-24),-0.00355,0.001202081528017131,2,0.012,100.0,3214.0,0.0228
6,Glucose Metabolism,Childhood (9-12),-0.0014,,1,0.2,0.0,3779.0,0.0075
7,Glucose Metabolism,Adolescence (13-16),-0.0025,,1,0.028,50.0,2593.0,0.0455
8,Glucose Metabolism,Early Adulthood (17-24),0.00115,0.0017677669529663688,2,0.519,0.0,2377.0,0.051500000000000004
9,High-Density Lipoprotein,Childhood (9-12),-0.0009,,1,0.395,0.0,3924.0,0.0145
10,High-Density Lipoprotein,Adolescence (13-16),-0.0012,,1,0.329,0.0,2692.0,0.065
11,High-Density Lipoprotein,Early Adulthood (17-24),0.0022,0.0015556349186104045,2,0.20400000000000001,50.0,2419.5,0.1139
12,Insulin,Childhood (9-12),0.0007,,1,0.442,0.0,3905.0,-0.001
13,Insulin,Adolescence (13-16),-0.0025,,1,0.005,50.0,2688.0,0.0269
14,Insulin,Early Adulthood (17-24),-0.0032500000000000003,0.0014849242404917494,2,0.054,50.0,2400.0,0.01115
15,Low-Density Lipoprotein,Childhood (9-12),-0.0015,,1,0.14,0.0,3923.0,0.0282
16,Low-Density Lipoprotein,Adolescence (13-16),-0.002,,1,0.089,0.0,2692.0,0.033
17,Low-Density Lipoprotein,Early Adulthood (17-24),-0.00024999999999999995,0.0013435028842544402,2,0.47,0.0,2418.5,0.0297
18,Systolic Blood Pressure,Childhood (9-12),-0.0021000000000000003,0.0013089435944047907,4,0.0785,50.0,5427.0,0.00515
19,Systolic Blood Pressure,Adolescence (13-16),0.0,0.002545584412271571,2,0.066,0.0,4139.0,0.03615
20,Systolic Blood Pressure,Early Adulthood (17-24),-0.0019,0.000565685424949238,2,0.0755,50.0,3214.0,0.2355
21,Total Cholesterol,Childhood (9-12),-0.0018,,1,0.08,0.0,3924.0,0.0127
22,Total Cholesterol,Adolescence (13-16),-0.0017,,1,0.152,0.0,2692.0,0.0756
23,Total Cholesterol,Early Adulthood (17-24),0.0007499999999999999,0.0006363961030678928,2,0.5605,0.0,2419.5,0.07245
24,Triglycerides,Childhood (9-12),-0.0001,,1,0.921,0.0,3924.0,0.003
25,Triglycerides,Adolescence (13-16),0.0022,,1,0.064,0.0,2692.0,0.0027
26,Triglycerides,Early Adulthood (17-24),0.00045,0.0006363961030678928,2,0.732,0.0,2419.0,0.01655
27,Waist Circumference,Childhood (9-12),-0.00215,0.0009469248474227859,4,0.057749999999999996,50.0,5512.25,0.011725
28,Waist Circumference,Adolescence (13-16),-0.0026,0.0001414213562373094,2,0.0115,100.0,4106.5,0.00925
29,Waist Circumference,Early Adulthood (17-24),-0.0054,,1,0.0,50.0,2888.0,0.114
