Risk Factor,Num Data Points,Trend Slope,Trend P-value,Trend Direction,Trend Significance,R-squared,Early Ages Mean Coef,Late Ages Mean Coef,Early-Late Difference,Early Ages Sig %,Late Ages Sig %
Body Mass Index,8,-0.0001806671721000758,0.0009370838498446315,decreasing,significant,0.8584842893608786,-0.0027833333333333334,-0.004399999999999999,-0.001616666666666666,100.0,100.0
Diastolic Blood Pressure,8,-6.512509476876424e-05,0.5727641987940133,decreasing,non-significant,0.05594805121148965,-0.0020666666666666667,-0.00355,-0.0014833333333333335,83.33333333333334,100.0
Glucose Metabolism,8,,,decreasing,non-significant,,-0.00195,0.00115,0.0031,16.666666666666664,0.0
High-Density Lipoprotein,8,,,decreasing,non-significant,,-0.00105,0.0022,0.0032500000000000003,0.0,50.0
Insulin,8,,,decreasing,non-significant,,-0.0009,-0.0032500000000000003,-0.0023500000000000005,16.666666666666664,50.0
Low-Density Lipoprotein,8,,,decreasing,non-significant,,-0.00175,-0.00024999999999999995,0.0015,0.0,0.0
Systolic Blood Pressure,8,3.320697498104622e-05,0.8138178792805473,increasing,non-significant,0.009992205991823468,-0.0014,-0.0019,-0.0005,33.33333333333333,50.0
Total Cholesterol,8,,,decreasing,non-significant,,-0.0017499999999999998,0.0007499999999999999,0.0024999999999999996,0.0,0.0
Triglycerides,8,,,decreasing,non-significant,,0.0010500000000000002,0.00045,-0.0006000000000000002,0.0,0.0
Waist Circumference,8,,,decreasing,non-significant,,-0.0023000000000000004,-0.0054,-0.0031,66.66666666666666,50.0
