iq,depvar,age,beta,lci,uci
8,BMI_(bmi),9,-.00211174,-.0037046,-.00051888
8,BMI_(bmi),10,-.00238196,-.00399866,-.00076527
8,BMI_(bmi),11,-.00343458,-.00509837,-.00177079
8,BMI_(bmi),12,-.00291073,-.00463255,-.00118892
8,BMI_(bmi),13,-.00296118,-.0047242,-.00119815
8,BMI_(bmi),15,-.00293563,-.00479343,-.00107783
8,BMI_(bmi),17,-.00357248,-.00555205,-.00159291
8,BMI_(bmi),24,-.00515377,-.00745496,-.00285257
8,Waist_circumference_(wc),9,-.00109574,-.00268016,.00048867
8,Waist_circumference_(wc),10,-.00158246,-.00319657,.00003165
8,Waist_circumference_(wc),11,-.00301473,-.00467972,-.00134974
8,Waist_circumference_(wc),12,-.00288966,-.00460619,-.00117313
8,Waist_circumference_(wc),13,-.00270076,-.00447005,-.00093146
8,Waist_circumference_(wc),15,-.00249385,-.00458985,-.00039786
8,Waist_circumference_(wc),24,-.00536607,-.00759313,-.00313902
8,Systolic_blood_pressure_(bp_sys),9,-.00144971,-.00309121,.00019179
8,Systolic_blood_pressure_(bp_sys),10,-.00398306,-.00567962,-.00228651
8,Systolic_blood_pressure_(bp_sys),11,-.00188113,-.0035983,-.00016396
8,Systolic_blood_pressure_(bp_sys),12,-.00113654,-.00287172,.00059863
8,Systolic_blood_pressure_(bp_sys),13,-.00179823,-.0037258,.00012934
8,Systolic_blood_pressure_(bp_sys),15,.0017995,-.00010857,.00370757
8,Systolic_blood_pressure_(bp_sys),17,-.00146002,-.0033054,.00038535
8,Systolic_blood_pressure_(bp_sys),24,-.00232937,-.00443485,-.00022388
8,Diastolic_blood_pressure_(bp_dia),9,-.0018391,-.00349609,-.00018211
8,Diastolic_blood_pressure_(bp_dia),10,-.00404757,-.00572899,-.00236615
8,Diastolic_blood_pressure_(bp_dia),11,-.00234095,-.00405989,-.00062201
8,Diastolic_blood_pressure_(bp_dia),12,-.00007806,-.00182316,.00166705
8,Diastolic_blood_pressure_(bp_dia),13,-.00199828,-.00392544,-.00007113
8,Diastolic_blood_pressure_(bp_dia),15,-.00220192,-.00416998,-.00023385
8,Diastolic_blood_pressure_(bp_dia),17,-.00437318,-.0064555,-.00229087
8,Diastolic_blood_pressure_(bp_dia),24,-.0027431,-.00511898,-.00036722
8,Cholesterol_(chol),9,-.001783,-.00377993,.00021392
8,Cholesterol_(chol),15,-.00168316,-.00398868,.00062236
8,Cholesterol_(chol),17,.00124214,-.00119804,.00368232
8,Cholesterol_(chol),24,.00032677,-.00224509,.00289862
8,High-density_lipoprotein_(HLD)_(hdl),9,-.000877,-.00289867,.00114467
8,High-density_lipoprotein_(HLD)_(hdl),15,-.00119878,-.00360729,.00120973
8,High-density_lipoprotein_(HLD)_(hdl),17,.00106202,-.00140298,.00352702
8,High-density_lipoprotein_(HLD)_(hdl),24,.0033148,.00078561,.005844
8,Low-density_lipoprotein_(LDL)_(ldl),9,-.00149383,-.00347548,.00048782
8,Low-density_lipoprotein_(LDL)_(ldl),15,-.00203012,-.00436844,.0003082
8,Low-density_lipoprotein_(LDL)_(ldl),17,.00070148,-.00181895,.00322192
8,Low-density_lipoprotein_(LDL)_(ldl),24,-.00123456,-.00385259,.00138348
8,Triglycerides_(trig),9,-.00010346,-.00214061,.0019337
8,Triglycerides_(trig),15,.00222687,-.00012986,.0045836
8,Triglycerides_(trig),17,.0009176,-.00158132,.00341651
8,Triglycerides_(trig),24,-.0000144,-.00267966,.00265087
8,Glucose_metabolism_(glc_meta),9,-.00137256,-.00347285,.00072773
8,Glucose_metabolism_(glc_meta),15,-.00254266,-.00480479,-.00028053
8,Glucose_metabolism_(glc_meta),17,.0024242,-.00024917,.00509758
8,Glucose_metabolism_(glc_meta),24,-.00005603,-.00238836,.00227631
8,Insulin_(insul),9,.00074788,-.00115888,.00265464
8,Insulin_(insul),15,-.00248048,-.00419374,-.00076722
8,Insulin_(insul),17,-.00216331,-.00478432,.00045771
8,Insulin_(insul),24,-.0042777,-.00694173,-.00161366
