iq,depvar,age,beta,lci,uci
8,BMI_(bmi),9,-.03491747,-.06125532,-.00857963
8,BMI_(bmi),10,-.03938557,-.06611746,-.01265369
8,BMI_(bmi),11,-.05679051,-.08430115,-.02927987
8,BMI_(bmi),12,-.04812872,-.07659875,-.01965869
8,BMI_(bmi),13,-.04896284,-.07811431,-.01981138
8,BMI_(bmi),15,-.04854039,-.07925897,-.01782181
8,BMI_(bmi),17,-.05907066,-.09180264,-.02633867
8,BMI_(bmi),24,-.08521711,-.12326716,-.04716706
8,Waist_circumference_(wc),9,-.01811804,-.0443162,.00808011
8,Waist_circumference_(wc),10,-.0261658,-.05285498,.00052338
8,Waist_circumference_(wc),11,-.04984829,-.07737875,-.02231783
8,Waist_circumference_(wc),12,-.04778027,-.07616289,-.01939765
8,Waist_circumference_(wc),13,-.04465681,-.07391194,-.01540167
8,Waist_circumference_(wc),15,-.04123566,-.07589273,-.00657859
8,Waist_circumference_(wc),24,-.08872754,-.1255517,-.05190338
8,Systolic_blood_pressure_(bp_sys),9,-.02397086,-.05111294,.00317123
8,Systolic_blood_pressure_(bp_sys),10,-.06585958,-.09391196,-.03780719
8,Systolic_blood_pressure_(bp_sys),11,-.03110428,-.05949756,-.00271101
8,Systolic_blood_pressure_(bp_sys),12,-.01879262,-.04748357,.00989833
8,Systolic_blood_pressure_(bp_sys),13,-.02973363,-.06160583,.00213858
8,Systolic_blood_pressure_(bp_sys),15,.02975457,-.00179525,.06130438
8,Systolic_blood_pressure_(bp_sys),17,-.02414138,-.05465443,.00637167
8,Systolic_blood_pressure_(bp_sys),24,-.03851591,-.07332989,-.00370192
8,Diastolic_blood_pressure_(bp_dia),9,-.03040934,-.05780759,-.00301109
8,Diastolic_blood_pressure_(bp_dia),10,-.06692615,-.09472829,-.03912402
8,Diastolic_blood_pressure_(bp_dia),11,-.03870739,-.06712996,-.01028482
8,Diastolic_blood_pressure_(bp_dia),12,-.00129064,-.03014585,.02756457
8,Diastolic_blood_pressure_(bp_dia),13,-.0330414,-.06490675,-.00117605
8,Diastolic_blood_pressure_(bp_dia),15,-.0364085,-.0689503,-.0038667
8,Diastolic_blood_pressure_(bp_dia),17,-.07231024,-.10674117,-.03787932
8,Diastolic_blood_pressure_(bp_dia),24,-.04535697,-.08464192,-.00607202
8,Cholesterol_(chol),9,-.02948181,-.06250079,.00353717
8,Cholesterol_(chol),15,-.02783085,-.06595241,.01029072
8,Cholesterol_(chol),17,.02053871,-.01980942,.06088683
8,Cholesterol_(chol),24,.00540306,-.03712232,.04792845
8,High-density_lipoprotein_(HLD)_(hdl),9,-.01450114,-.04792931,.01892704
8,High-density_lipoprotein_(HLD)_(hdl),15,-.01982173,-.05964631,.02000285
8,High-density_lipoprotein_(HLD)_(hdl),17,.01756041,-.02319824,.05831905
8,High-density_lipoprotein_(HLD)_(hdl),24,.05480995,.01298992,.09662998
8,Low-density_lipoprotein_(LDL)_(ldl),9,-.02470034,-.0574667,.00806602
8,Low-density_lipoprotein_(LDL)_(ldl),15,-.03356788,-.07223173,.00509598
8,Low-density_lipoprotein_(LDL)_(ldl),17,.01159899,-.03007614,.05327413
8,Low-density_lipoprotein_(LDL)_(ldl),24,-.02041329,-.06370232,.02287575
8,Triglycerides_(trig),9,-.00171069,-.03539488,.03197349
8,Triglycerides_(trig),15,.03682113,-.00214719,.07578944
8,Triglycerides_(trig),17,.01517239,-.02614692,.05649171
8,Triglycerides_(trig),24,-.00023804,-.04430798,.0438319
8,Glucose_metabolism_(glc_meta),9,-.02269512,-.05742327,.01203303
8,Glucose_metabolism_(glc_meta),15,-.0420426,-.07944673,-.00463847
8,Glucose_metabolism_(glc_meta),17,.04008401,-.00412006,.08428808
8,Glucose_metabolism_(glc_meta),24,-.00092641,-.03949135,.03763852
8,Insulin_(insul),9,.01236613,-.01916198,.04389424
8,Insulin_(insul),15,-.04101452,-.0693431,-.01268594
8,Insulin_(insul),17,-.03577008,-.07910838,.00756823
8,Insulin_(insul),24,-.07073133,-.11478097,-.0266817
